question id,response,Score,,,Persona,Score Min,Score Max,Persona Header,Persona Description
settlement_timeline,within_year,5,,,Surveyor,4,6,You’re a surveyor!,"You’re gathering information, getting the lay of the land to plot a course."
settlement_timeline,within_three_years,4,,,Explorer,7,10,You're an explorer!,You're gathering supplies and preparing for an adventure.
settlement_timeline,more_than_three_years,2,,,Settler,11,16,You're a settler!,"You’ve found the spot, and you’re ready to begin the next phase of your journey."
settlement_timeline,not_sure,1,,,,,,,
2,refinancing,3,,,,,,,
2,cash-savings,3,,,,,,,
2,loan-heloc,3,,,,,,,
2,home-sale,3,,,,,,,
2,not-sure,1,,,,,,,
3,still-deciding,1,,,,,,,
3,committed-not-started,3,,,,,,,
3,committed-active,5,,,,,,,
4,(empty),1,,,,,,,
4,(not empty),3,,,,,,,